"lemma_parola","X"
"problem",5997
"issue",3426
"cheat",3169
"concern",2878
"critical",2514
"risk",2292
"limit",1646
"complex",1627
"lack",1491
"limitation",1349
"cloud",1173
"threat",1000
"bias",985
"error",947
"difficulty",827
"difficult",794
"worry",766
"negative",683
"fear",680
"cancer",632
"challenge",627
"fuzzy",627
"bad",617
"object",555
"regression",530
"hard",458
"wrong",430
"anxiety",402
"destroy",399
"disruptive",376
"attack",370
"stress",338
"fake",331
"alarm",324
"miss",319
"crisis",298
"disruption",298
"poor",295
"loss",289
"warn",275
"disrupt",254
"fall",243
"urgent",240
"emergency",221
"panic",219
"con",211
"dropout",208
"insufficient",207
"failure",203
"obsolete",201
"adversarial",199
"shortcoming",194
"randomly",185
"disadvantage",181
"depression",174
"outcry",160
"burden",159
"waste",155
"hype",151
"symptom",151
"false",150
"epidemic",148
"incorrect",141
"drawback",138
"chronic",134
"pain",134
"weakness",133
"disorder",132
"shit",131
"fault",130
"foe",130
"discrimination",126
"bullshit",121
"noise",121
"dead",120
"break",119
"severe",119
"inevitable",118
"fail",117
"scary",117
"lazy",116
"absence",115
"complicate",115
"lie",115
"weak",114
"damage",113
"afraid",112
"outbreak",112
"threaten",112
"dangerous",111
"mistake",111
"infection",109
"funny",107
"kill",103
"shortage",103
